change_id	batch_id	date	episode	start	end	category	severity	before	after	source_ref	rationale	status	agent	reviewer
SH0002-CHG-0001	SH0002-MIGRATION-20260826	2026-08-26	ALL			migration	info	legacy project layout	standard project layout with 1.0.0 version markers	docs/release-and-packaging.md	Migrate the approved subtitle bytes while adding only required release metadata and standardized filenames.	verified	Codex	

SH0002-V101-TERM-0001	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:07:00.90	0:07:02.81	terminology	P2	迪斯拉总统也已战死	德斯拉总统也已战死	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0002-V101-TERM-0002	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:07:07.11	0:07:08.94	terminology	P2	自从刺杀迪斯拉失败后	自从刺杀德斯拉失败后	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0002-V101-TERM-0003	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:18:50.94	0:18:52.23	terminology	P2	迪斯拉万岁！	德斯拉万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0002-V101-TIME-0001	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:10:10.42	0:10:11.13	timing+translation	P2	0:10:10.42-0:10:11.13 | 你的接班人呢？	0:10:10.42-0:10:11.59 | 你呢？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「君は」及英文 What about you；原译增添接班人；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0002	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:10:49.75	0:10:50.91	timing+translation	P1	0:10:49.75-0:10:50.91 | 为了等待在地球的亲人与所爱之人	0:10:49.75-0:10:51.34 | 为了在地球等候的家人	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语分句后半在下一事件；精简首段并延至下一入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0003	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:18:08.69	0:18:09.52	timing+translation	P1	0:18:08.69-0:18:09.52 | 弗姆特 下次和姐姐一起	0:18:08.69-0:18:09.90 | 弗姆特 下次和姐姐	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文整句跨两事件；精简首段并延至下一入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0004	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:27:37.68	0:27:38.63	timing+translation	P1	0:27:37.68-0:27:38.63 | 要让航空队离舰作战吗？	0:27:37.68-0:27:38.80 | 要让航空队出击吗？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「航空隊 発艦させますか」及英文 Shall I launch fighters；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0005	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:34:58.66	0:34:59.32	timing+translation	P2	0:34:58.66-0:34:59.32 | 这是什么东西？	0:34:58.53-0:34:59.65 | 什么？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「なんだあ」及英文 What the；下一事件 34:59.65 开始；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0006	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:51:38.57	0:51:39.53	timing+translation	P1	0:51:38.57-0:51:39.53 | 楼层显示一直到十一楼	0:51:38.57-0:51:39.86 | 编号一直到十一层	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 The numbers go up to 11 至 51:39.86；日语「11階まである」；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0007	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:13:54.70	1:13:55.48	timing+translation	P2	1:13:54.70-1:13:55.48 | 看到他们了吗？	1:13:54.70-1:13:55.91 | 那边呢？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「そっちは」；原译把对象说死，英文 Any sign of them 仅辅助；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0008	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:14:16.60	1:14:17.30	timing+translation	P2	1:14:16.60-1:14:17.30 | 他为什么会有枪？	1:14:16.60-1:14:17.49 | 他哪来的枪？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「なぜ 銃を」；精简并延至英文下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0009	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:22:54.20	1:22:54.98	timing+translation	P2	1:22:54.20-1:22:54.98 | 以副长权限下令：	1:22:54.20-1:22:55.40 | 以副长权限	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语整句在后续事件延续；首段精简，避免孤立冒号；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-TIME-0010	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:35:37.83	1:35:38.82	timing	P1	1:35:37.83-1:35:38.82 | 再接入辅助动力 应该能行……	1:35:37.83-1:35:39.54 | 再接入辅助动力 应该能行……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日英整句持续到下一自我纠正前；延至下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0002-V101-BOUND-0001	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	0:10:10.42	0:10:11.59	timing	P1	0:10:10.42-0:10:11.59 | 你呢？	0:10:10.42-0:10:11.55 | 你呢？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 10:11.55 入点；按目标英文轨与相邻中日配对收回越界出点；已同步中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0002-V101-BOUND-0002	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	1:14:16.60	1:14:17.49	timing	P1	1:14:16.60-1:14:17.49 | 他哪来的枪？	1:14:16.60-1:14:17.47 | 他哪来的枪？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 1:14:17.47 入点；消除 0.02 秒帧取整重叠；已同步中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0002-V101-BOUND-0003	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	1:22:54.20	1:22:55.40	timing	P1	1:22:54.20-1:22:55.40 | 以副长权限	1:22:54.20-1:22:55.16 | 以副长权限	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 1:22:55.16 入点；同一日语句的相邻分段不得重叠；已同步中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0002-V101-TIME-0011	SH0002-V1.0.1-EXTREME-SHORT-RECHECK	2026-08-26	MOVIE	1:33:09.23	1:33:10.02	timing	P2	1:33:09.23-1:33:09.68 | 弗姆特……	1:33:08.93-1:33:10.02 | 弗姆特……	target English Fomt... to 1:33:10.02; adjacent gap; Japanese call	按日英边界恢复短呼叫并同步中日配对	applied	Codex	unassigned
SH0002-V101-TRANS-0001	SH0002-V1.0.1-EXTREME-SHORT-RECHECK	2026-08-26	MOVIE	1:41:27.77	1:41:29.43	timing+translation	P1	1:41:27.77-1:41:28.22 | 它在消失！ / 1:41:28.60-1:41:29.43 | 消失了？	1:41:27.77-1:41:28.35 | 啊？ / 1:41:28.35-1:41:29.64 | 它在消失！	Japanese えっ！ maps to reaction; 消えてくぞ maps to vanishing; English It's vanishing! to 6089.64	纠正错配并重排相邻中日事件，保持一一配对和无重叠	applied	Codex	unassigned
SH0002-REL-0001	SH0002-REL-20260826-V101	2026-08-26	ALL			release	P1	1.0.0 current 成品	1.0.1 current 成品；旧 1.0.0 轮换至 previous；由 GitHub Actions 生成分发包	docs/release-and-packaging.md	用户确认本轮字幕优化并批准正式发布；本机不生成 ZIP	verified	Codex	user-approved
SH0002-DOC-0001	SH0002-DOC-20260826-PACKAGE-VERSION	2026-08-26	ALL			documentation	P3	稳定包名不含版本号，难以从文件名识别新旧	包名采用 `<IMDb-ID> - <IMDb-title> [v<version>].zip`，版本仍由包内 VERSION 校验	docs/release-and-packaging.md；docs/project-identity.md	用户确认采用文件名版本标识；由 GitHub Actions 生成新包	verified	Codex	user-approved
