item_id	round_id	date	episode	start	end	category	severity	before	proposed_after	evidence	rationale	decision	status	actual_after	actor	reviewer	resolution
SH0002-CHG-0001	SH0002-MIGRATION-20260826	2026-08-26	ALL			migration	info	legacy project layout	standard project layout with 1.0.0 version markers	docs/release-and-packaging.md	Migrate the approved subtitle bytes while adding only required release metadata and standardized filenames.	not-recorded	verified	standard project layout with 1.0.0 version markers	Codex		Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TERM-0001	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:07:00.90	0:07:02.81	terminology	P2	迪斯拉总统也已战死	德斯拉总统也已战死	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	德斯拉总统也已战死	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TERM-0002	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:07:07.11	0:07:08.94	terminology	P2	自从刺杀迪斯拉失败后	自从刺杀德斯拉失败后	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	自从刺杀德斯拉失败后	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TERM-0003	SH0002-V1.0.1-TERMS	2026-08-26	MOVIE	0:18:50.94	0:18:52.23	terminology	P2	迪斯拉万岁！	德斯拉万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	德斯拉万岁！	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0001	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:10:10.42	0:10:11.13	timing+translation	P2	0:10:10.42-0:10:11.13 | 你的接班人呢？	0:10:10.42-0:10:11.59 | 你呢？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「君は」及英文 What about you；原译增添接班人；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:10:10.42-0:10:11.59 | 你呢？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0002	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:10:49.75	0:10:50.91	timing+translation	P1	0:10:49.75-0:10:50.91 | 为了等待在地球的亲人与所爱之人	0:10:49.75-0:10:51.34 | 为了在地球等候的家人	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语分句后半在下一事件；精简首段并延至下一入点；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:10:49.75-0:10:51.34 | 为了在地球等候的家人	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0003	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:18:08.69	0:18:09.52	timing+translation	P1	0:18:08.69-0:18:09.52 | 弗姆特 下次和姐姐一起	0:18:08.69-0:18:09.90 | 弗姆特 下次和姐姐	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文整句跨两事件；精简首段并延至下一入点；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:18:08.69-0:18:09.90 | 弗姆特 下次和姐姐	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0004	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:27:37.68	0:27:38.63	timing+translation	P1	0:27:37.68-0:27:38.63 | 要让航空队离舰作战吗？	0:27:37.68-0:27:38.80 | 要让航空队出击吗？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「航空隊 発艦させますか」及英文 Shall I launch fighters；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:27:37.68-0:27:38.80 | 要让航空队出击吗？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0005	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:34:58.66	0:34:59.32	timing+translation	P2	0:34:58.66-0:34:59.32 | 这是什么东西？	0:34:58.53-0:34:59.65 | 什么？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「なんだあ」及英文 What the；下一事件 34:59.65 开始；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:34:58.53-0:34:59.65 | 什么？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0006	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	0:51:38.57	0:51:39.53	timing+translation	P1	0:51:38.57-0:51:39.53 | 楼层显示一直到十一楼	0:51:38.57-0:51:39.86 | 编号一直到十一层	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 The numbers go up to 11 至 51:39.86；日语「11階まである」；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:51:38.57-0:51:39.86 | 编号一直到十一层	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
