change_id	batch_id	date	episode	start	end	category	severity	before	after	source_ref	rationale	status	agent	reviewer
SH0003-CHG-0001	SH0003-MIGRATION-20260826	2026-08-26	ALL			migration	info	legacy project layout	standard project layout with 1.0.0 version markers	docs/release-and-packaging.md	Migrate the approved subtitle bytes while adding only required release metadata and standardized filenames.	verified	Codex	

SH0003-V101-TERM-0001	SH0003-V1.0.1-TERMS	2026-08-26	S02E05	0:05:42.96	0:05:46.60	terminology	P2	虽然可以伪装 但没有波动防护罩还是相当危险	虽然可以伪装 但没有波动防御壁还是相当危险	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TERM-0002	SH0003-V1.0.1-TERMS	2026-08-26	S02E06	0:12:28.66	0:12:33.18	terminology	P2	修复需两小时 期间冲击加农和波动防护罩都无法使用……	修复需两小时 期间冲击加农和波动防御壁都无法使用……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TERM-0003	SH0003-V1.0.1-TERMS	2026-08-26	S02E07	0:03:46.88	0:03:49.83	terminology	P2	波动防护罩的耐压值已逼近极限	波动防御壁的耐压值已逼近极限	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TERM-0004	SH0003-V1.0.1-TERMS	2026-08-26	S02E07	0:03:49.83	0:03:52.34	terminology	P2	距离波动防护罩消失还有一分钟	距离波动防御壁消失还有一分钟	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TERM-0005	SH0003-V1.0.1-TERMS	2026-08-26	S02E19	0:06:11.38	0:06:16.56	terminology	P2	巨大的波动防护罩……难道是……	巨大的波动防御壁……难道是……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TERM-0006	SH0003-V1.0.1-TERMS	2026-08-26	S02E19	0:13:15.32	0:13:17.33	terminology	P2	波动防护罩衰减率 8000	波动防御壁衰减率 8000	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0003-V101-TIME-0001	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E01	0:14:59.47	0:15:00.24	timing+translation	P2	0:14:59.47-0:15:00.24 | 不要管前方了！	0:14:59.47-0:15:00.90 | 别管前方！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文整句继续下达三四号炮命令；精简该分段并利用后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0002	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E01	0:24:44.15	0:24:44.96	timing+translation	P2	0:24:44.15-0:24:44.96 | 我们应该前去	0:24:44.15-0:24:45.11 | 我们该去了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 We should go；延至下一预告句入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0003	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E02	0:02:13.88	0:02:14.63	timing+translation	P1	0:02:13.88-0:02:14.63 | 大使先生！确认无误了！	0:02:13.88-0:02:15.10 | 大使 已确认无误！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语及英文确认句；精简称谓并利用下一事件前空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0004	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E02	0:07:32.95	0:07:33.43	timing+translation	P2	0:07:32.95-0:07:33.43 | 你还记得吗？	0:07:32.95-0:07:33.95 | 还记得吗？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Do you remember 延续；后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0005	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E03	0:19:55.34	0:19:56.13	timing+translation	P2	0:19:55.34-0:19:56.13 | 乘上大和号启程吧	0:19:55.34-0:19:56.13 | 坐大和号去吧	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「ヤマトで行こう」；精简而不改英文内嵌边界；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0006	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E04	0:12:21.92	0:12:22.60	timing+translation	P2	0:12:21.92-0:12:22.60 | 放心交给我吧	0:12:21.74-0:12:22.60 | 交给我吧	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 You bet 自 12:21.92，前一句至 12:21.74；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0007	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E04	0:14:21.50	0:14:22.33	timing+translation	P2	0:14:21.50-0:14:22.33 | 我们加快速度吧	0:14:21.50-0:14:22.50 | 快走吧	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「急ぎましょう」及英文 Let's hurry；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0008	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E04	0:14:42.74	0:14:43.50	timing+translation	P2	0:14:42.74-0:14:43.50 | 现在要怎么办？	0:14:42.74-0:14:43.70 | 怎么办？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「どうしましょう」及英文 What should we do；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0009	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E05	0:02:02.84	0:02:03.48	timing+translation	P2	0:02:02.84-0:02:03.48 | 啊！还是算了吧	0:02:02.84-0:02:04.00 | 啊 还是不行！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「あ～ やっぱダメ」；覆盖原有轻微同时反应区间；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0010	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E05	0:25:01.06	0:25:01.82	timing+translation	P1	0:25:01.06-0:25:01.82 | 这实在是太过危险了！	0:25:01.06-0:25:01.88 | 太危险了！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	预告英文内嵌同句至 25:01.88；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0011	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E05	0:25:04.60	0:25:05.52	timing+translation	P1	0:25:04.60-0:25:05.52 | 我想你也应该很清楚才是	0:25:04.60-0:25:05.52 | 你应该很清楚	project sources: ja primary/official; en target embedded; current zh-Hans baseline	预告英文 You should know what it is；精简，保持下一句硬切；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0012	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E06	0:03:48.86	0:03:49.28	timing+translation	P2	0:03:48.86-0:03:49.28 | 你怎么了？	0:03:48.44-0:03:49.46 | 怎么了？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 What's wrong 03:48.44–03:49.28；扩至安全空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0013	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E07	0:05:58.61	0:05:59.43	timing+translation	P2	0:05:58.61-0:05:59.43 | 嗯 大家都平安无事	0:05:58.61-0:05:59.80 | 大家都平安	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「みんな 無事です」；删除无证据填充语，后续同句信息另有事件；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0014	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E08	0:13:45.69	0:13:46.03	timing	P2	0:13:45.69-0:13:46.03 | 一定会的	0:13:45.69-0:13:46.69 | 一定会的	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Sure；后续空档充足；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0015	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E08	0:17:29.93	0:17:30.52	timing+translation	P2	0:17:29.93-0:17:30.52 | 但是这个数量……	0:17:29.93-0:17:31.10 | 这数量……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「数が」及英文 So many；精简并利用空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0016	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E09	0:05:09.23	0:05:09.98	timing+translation	P1	0:05:09.23-0:05:09.98 | 你……你在胡说些什么啊？	0:05:09.23-0:05:11.18 | 你在胡说什么？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌同句至 05:11.18；日语保留质问语气；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0017	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E09	0:11:43.95	0:11:44.70	timing+translation	P1	0:11:43.95-0:11:44.70 | 但是只能救下其中 1 艘……	0:11:43.95-0:11:45.60 | 但只能救下一艘……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文整句至 11:44.70，后续有 0.9 秒空档；精简并补足；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0018	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E09	0:24:52.22	0:24:53.11	timing+translation	P1	0:24:52.22-0:24:53.11 | 给我收回你刚才说的话！	0:24:52.22-0:24:53.11 | 把刚才的话收回去！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	预告英文 Take back what you said；精简到 9 字；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0019	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E10	0:11:59.86	0:12:00.55	timing+translation	P2	0:11:59.86-0:12:00.55 | 我要怎么样才能……	0:11:59.86-0:12:01.20 | 我该怎么办……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「どうしたら」及英文 what should I；后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0020	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E11	0:25:02.47	0:25:03.39	timing+translation	P1	0:25:02.47-0:25:03.39 | 古代！那家伙开始行动了！	0:25:02.35-0:25:03.64 | 古代 她行动了！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	预告英文 Kodai, she's made a move；按内嵌边界并精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0021	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E12	0:09:58.32	0:09:59.08	timing+translation	P2	0:09:58.32-0:09:59.08 | 这到底是怎么回事？	0:09:58.32-0:09:59.50 | 到底怎么回事？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「どういうことだ」；精简，后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0022	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E13	0:05:15.83	0:05:16.38	timing	P2	0:05:15.83-0:05:16.38 | 因为她还活着	0:05:15.83-0:05:17.02 | 因为她还活着	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语官方将后续反应连在同一范围；延至反应事件出点，不造成后续重叠；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0023	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E14	0:09:31.71	0:09:32.50	timing+translation	P2	0:09:31.71-0:09:32.50 | 那就拜托你掩护了	0:09:31.71-0:09:33.01 | 拜托你掩护了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Cover me 至 09:33.01；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0024	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E14	0:17:32.30	0:17:33.06	timing+translation	P2	0:17:32.30-0:17:33.06 | 这算是什么啊？	0:17:32.16-0:17:33.56 | 什么意思？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 What do you mean 17:32.16–17:33.56；日语「なんだ そりゃ」；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0025	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E14	0:19:58.28	0:19:59.09	timing+translation	P2	0:19:58.28-0:19:59.09 | 斋藤 不要再问了！	0:19:57.98-0:19:59.09 | 斋藤 别问了！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Saito, don't 自 19:57.98；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0026	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E15	0:10:02.92	0:10:03.54	timing+translation	P2	0:10:02.92-0:10:03.54 | 未来亦是如此	0:10:02.92-0:10:04.20 | 未来也是	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「未来も」；精简并利用空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0027	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E17	0:04:07.91	0:04:08.68	timing+translation	P2	0:04:07.91-0:04:08.68 | 终于稳定下来了	0:04:07.91-0:04:09.30 | 稳定下来了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 It stabilized 至 04:08.68；后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0028	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E17	0:25:24.40	0:25:25.15	timing+translation	P2	0:25:24.40-0:25:25.15 | 那到底是什么啊？	0:25:24.40-0:25:25.27 | 那是什么？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	预告英文 What's that 至 25:25.27；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0029	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E18	0:06:58.11	0:06:58.66	timing+translation	P2	0:06:58.11-0:06:58.66 | 这是一场游戏	0:06:58.00-0:06:59.00 | 这是游戏	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「ゲームよ」及英文 It's a game；精简并与同时叹息共存；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0030	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E18	0:16:49.15	0:16:50.03	timing+translation	P1	0:16:49.15-0:16:50.03 | 引擎输出功率开始下降	0:16:49.15-0:16:50.73 | 引擎输出下降	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌同句至 16:50.73；日语「エンジン 出力低下」；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0031	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E19	0:04:53.50	0:04:53.98	timing+translation	P2	0:04:53.50-0:04:53.98 | 真田副舰长	0:04:53.50-0:04:54.70 | 真田副舰长！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文称呼至 04:53.98；后续有 1.42 秒空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0032	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E21	0:05:01.26	0:05:02.05	timing+translation	P2	0:05:01.26-0:05:02.05 | 偏偏在这时候……	0:05:01.26-0:05:02.80 | 偏偏这时候……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「こんなときに」；后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0033	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E21	0:12:22.61	0:12:23.43	timing+translation	P2	0:12:22.61-0:12:23.43 | 喂！请重复一遍	0:12:22.61-0:12:24.10 | 喂 再说一遍！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Say it again 至 12:23.43；后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0034	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E21	0:20:04.46	0:20:05.23	timing+translation	P2	0:20:04.46-0:20:05.23 | 我们正在被拖曳向前	0:20:04.46-0:20:05.80 | 我们被拖走了！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「牽引されます」；精简，后续空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0035	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E21	0:20:56.02	0:20:56.58	timing+translation	P2	0:20:56.02-0:20:56.58 | 船体已达极限！	0:20:55.41-0:20:56.90 | 已到极限！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	与前句“仙女座受损严重”构成连续报告；英文至 20:56.58，前句 20:55.41 结束；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0036	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E22	0:09:54.91	0:09:55.88	timing+translation	P1	0:09:54.91-0:09:55.88 | 但是仍有一种可行的方案	0:09:54.91-0:09:55.88 | 只有一个办法……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「ただ１つ」及英文 except for；原译扩写，精简后 6 字；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0037	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E22	0:14:07.30	0:14:08.29	timing+translation	P1	0:14:07.30-0:14:08.29 | 我这边什么都看不到啊	0:14:07.30-0:14:08.76 | 什么都看不见	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「何も見えないぞ」；精简并延至下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0038	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E22	0:17:21.55	0:17:22.25	timing+translation	P2	0:17:21.55-0:17:22.25 | 数量正在减少	0:17:21.55-0:17:22.85 | 敌人正在减少	project sources: ja primary/official; en target embedded; current zh-Hans baseline	补足指代以对应上句敌人，延至下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0039	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E23	0:03:43.12	0:03:43.86	timing+translation	P2	0:03:43.12-0:03:43.86 | 不可以答应他！	0:03:42.98-0:03:43.86 | 别答应他！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 Don't 自 03:42.98；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-TIME-0040	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E25	0:07:42.63	0:07:43.31	timing+translation	P1	0:07:42.63-0:07:43.31 | 现在的话还有机会……	0:07:42.63-0:07:43.31 | 趁现在……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「今なら」及英文 Now is the chance；精简；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0003-V101-BOUND-0001	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E01	0:14:59.47	0:15:00.90	timing	P1	0:14:59.47-0:15:00.90 | 别管前方！	0:14:59.47-0:15:00.56 | 别管前方！	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一主炮命令 15:00.56 入点；收回第一轮越界出点；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0002	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E02	0:02:13.88	0:02:15.10	timing	P1	0:02:13.88-0:02:15.10 | 大使 已确认无误！	0:02:13.88-0:02:14.63 | 大使 已确认无误！	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 02:14.63 入点；恢复明确的相邻分句边界；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0003	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E02	0:07:32.95	0:07:33.95	timing	P1	0:07:32.95-0:07:33.95 | 还记得吗？	0:07:32.95-0:07:33.43 | 还记得吗？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一反应事件 07:33.43 入点；保留短促问答次序；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0004	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E04	0:14:21.50	0:14:22.50	timing	P1	0:14:21.50-0:14:22.50 | 快走吧	0:14:21.50-0:14:22.33 | 快走吧	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 14:22.33 入点；收回第一轮越界出点；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0005	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E04	0:14:42.74	0:14:43.70	timing	P1	0:14:42.74-0:14:43.70 | 怎么办？	0:14:42.74-0:14:43.67 | 怎么办？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 14:43.67 入点；消除 0.03 秒边界重叠；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0006	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E05	0:25:01.06	0:25:01.88	timing	P1	0:25:01.06-0:25:01.88 | 太危险了！	0:25:01.06-0:25:01.82 | 太危险了！	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一预告事件 25:01.82 入点；保持连续硬切；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0007	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E08	0:13:45.69	0:13:46.69	timing	P1	0:13:45.69-0:13:46.69 | 一定会的	0:13:45.69-0:13:46.03 | 一定会的	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文 Sure 至 13:46.03，随后为独立反应声；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0008	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E08	0:17:29.93	0:17:31.10	timing	P1	0:17:29.93-0:17:31.10 | 这数量……	0:17:29.93-0:17:30.89 | 这数量……	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一质问事件 17:30.89 入点；收回第一轮越界出点；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0009	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E10	0:24:45.53	0:24:46.41	timing	P1	0:24:45.53-0:24:46.41 | 我们被包围了吗……	0:24:45.53-0:24:46.18 | 我们被包围了吗……	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文预告边界 24:45.53–24:46.18；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0010	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E10	0:24:46.41	0:24:47.80	timing	P1	0:24:46.41-0:24:47.80 | 全速前进 甩开敌人！	0:24:46.18-0:24:47.63 | 全速前进 甩开敌人！	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文预告边界 24:46.18–24:47.63；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0011	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E10	0:24:47.60	0:24:49.35	timing	P1	0:24:47.60-0:24:49.35 | 我们被敌人完全包围了！	0:24:47.63-0:24:48.93 | 我们被敌人完全包围了！	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文预告边界 24:47.63–24:48.93；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0012	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E10	0:24:49.15	0:24:50.23	timing	P1	0:24:49.15-0:24:50.23 | 这支舰队规模多大？	0:24:48.93-0:24:50.23 | 这支舰队规模多大？	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文预告边界 24:48.93–24:50.23；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
SH0003-V101-BOUND-0013	SH0003-V1.0.1-BOUNDARY-RECHECK	2026-08-26	S02E11	0:25:00.82	0:25:02.47	timing	P1	0:25:00.82-0:25:02.47 | 你喜欢他么？	0:25:00.82-0:25:02.35 | 你喜欢他么？	target embedded English timing; mapped Japanese pair; adjacent workspace events	目标英文预告边界至 25:02.35；已同步现有中日配对并要求全量重叠复核	applied	Codex	unassigned
