item_id	round_id	date	episode	start	end	category	severity	before	proposed_after	evidence	rationale	decision	status	actual_after	actor	reviewer	resolution
SH0003-CHG-0001	SH0003-MIGRATION-20260826	2026-08-26	ALL			migration	info	legacy project layout	standard project layout with 1.0.0 version markers	docs/release-and-packaging.md	Migrate the approved subtitle bytes while adding only required release metadata and standardized filenames.	not-recorded	verified	standard project layout with 1.0.0 version markers	Codex		Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0001	SH0003-V1.0.1-TERMS	2026-08-26	S02E05	0:05:42.96	0:05:46.60	terminology	P2	虽然可以伪装 但没有波动防护罩还是相当危险	虽然可以伪装 但没有波动防御壁还是相当危险	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	虽然可以伪装 但没有波动防御壁还是相当危险	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0002	SH0003-V1.0.1-TERMS	2026-08-26	S02E06	0:12:28.66	0:12:33.18	terminology	P2	修复需两小时 期间冲击加农和波动防护罩都无法使用……	修复需两小时 期间冲击加农和波动防御壁都无法使用……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	修复需两小时 期间冲击加农和波动防御壁都无法使用……	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0003	SH0003-V1.0.1-TERMS	2026-08-26	S02E07	0:03:46.88	0:03:49.83	terminology	P2	波动防护罩的耐压值已逼近极限	波动防御壁的耐压值已逼近极限	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	波动防御壁的耐压值已逼近极限	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0004	SH0003-V1.0.1-TERMS	2026-08-26	S02E07	0:03:49.83	0:03:52.34	terminology	P2	距离波动防护罩消失还有一分钟	距离波动防御壁消失还有一分钟	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	距离波动防御壁消失还有一分钟	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0005	SH0003-V1.0.1-TERMS	2026-08-26	S02E19	0:06:11.38	0:06:16.56	terminology	P2	巨大的波动防护罩……难道是……	巨大的波动防御壁……难道是……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	巨大的波动防御壁……难道是……	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TERM-0006	SH0003-V1.0.1-TERMS	2026-08-26	S02E19	0:13:15.32	0:13:17.33	terminology	P2	波动防护罩衰减率 8000	波动防御壁衰减率 8000	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	not-recorded	applied	波动防御壁衰减率 8000	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TIME-0001	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E01	0:14:59.47	0:15:00.24	timing+translation	P2	0:14:59.47-0:15:00.24 | 不要管前方了！	0:14:59.47-0:15:00.90 | 别管前方！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文整句继续下达三四号炮命令；精简该分段并利用后续空档；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:14:59.47-0:15:00.90 | 别管前方！	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TIME-0002	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E01	0:24:44.15	0:24:44.96	timing+translation	P2	0:24:44.15-0:24:44.96 | 我们应该前去	0:24:44.15-0:24:45.11 | 我们该去了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文 We should go；延至下一预告句入点；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:24:44.15-0:24:45.11 | 我们该去了	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0003-V101-TIME-0003	SH0003-V1.0.1-TIMING-TEXT	2026-08-26	S02E02	0:02:13.88	0:02:14.63	timing+translation	P1	0:02:13.88-0:02:14.63 | 大使先生！确认无误了！	0:02:13.88-0:02:15.10 | 大使 已确认无误！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语及英文确认句；精简称谓并利用下一事件前空档；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	0:02:13.88-0:02:15.10 | 大使 已确认无误！	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
