item_id	round_id	date	episode	start	end	category	severity	before	proposed_after	evidence	rationale	decision	status	actual_after	actor	reviewer	resolution
SH0004-INIT-0001	initialization	2026-08-27	ALL			project-initialization	P3	uninitialized intake	SH0004--yamato-2205-part1 with 4 prepared master(s)	approved intake; Bangumi API snapshot; SH-ID-002; SH-INIT-002; SH-INIT-005	Create a probe-confirmed, user-named proofreading project without modifying source media.	approved	verified	4 episode master(s) prepared	Codex	user	Project structure and proofreading-readiness validation passed at initialization.
SH0004-R1-TERM-001	content-audit-20260827	2026-08-27	ALL			terminology	P1	13 occurrences of 迪斯拉 across S03E01–S03E04	Replace the 13 confirmed-series-term candidates with 德斯拉 after approval	machine-audit.tsv; series-guide.md:YAMATO-TERM-0016; timestamps in ordinary-dialogue scan	Series terminology is confirmed, and the user approved the bounded terminology batch.	approved	verified	13 occurrences replaced with 德斯拉 across S03E01–S03E04	Codex	user	Applied after user approval; all four masters parse successfully and the series spelling is consistent.
SH0004-R1-SEM-001	content-audit-20260827	2026-08-27	S03E01	0:00:43.00	0:00:48.44	translation	P2	宇宙才能时而展现出这奇迹般地偶然并引导我等	宇宙有时会让我们遇到只能称为奇迹的巧合	master.ass line 58; English reference 0:00:40.14–0:00:48.52; SH-TRANS-002	Chinese expression was unnatural; the approved wording preserves the miraculous-coincidence idea without adding information.	approved	verified	宇宙有时会让我们遇到只能称为奇迹的巧合	Codex	user	Applied after user approval; ASS structure and punctuation checks pass.
SH0004-R1-SEM-002	content-audit-20260827	2026-08-27	S03E01	0:01:05.24	0:01:07.86	translation	P2	相似的宛如奇迹一般	真是奇迹般的契合	master.ass line 62; English reference 0:01:05.10–0:01:08.50; SH-TRANS-002	Chinese expression was semantically awkward; the approved wording preserves the match/convergence sense.	approved	verified	真是奇迹般的契合	Codex	user	Applied after user approval; ASS structure and punctuation checks pass.
SH0004-R1-SEM-003	content-audit-20260827	2026-08-27	S03E01	0:01:45.96	0:01:48.76	translation	P2	为其发展毫不吝惜的提供帮助吧	我们会尽力帮助你们发展	master.ass line 70; English reference 0:01:41.08–0:01:48.78; SH-TRANS-002	The baseline had written-language and grammar friction; the approved wording is concise and retains the addressee and action.	approved	verified	我们会尽力帮助你们发展	Codex	user	Applied after user approval; ASS structure and punctuation checks pass.
SH0004-R1-SEM-004	content-audit-20260827	2026-08-27	S03E01	0:13:13.85	0:13:17.19	translation	P1	无视实力的上位我们无法接受	我们无法接受让没有实力的人身居高位	master.ass line 209; English reference 0:13:14.66–0:13:17.10; SH-TRANS-002	The approved wording resolves the subject/object relationship while preserving the refusal and rank implication.	approved	verified	我们无法接受让没有实力的人身居高位	Codex	user	Applied after user approval; ASS structure and punctuation checks pass. Keep source-audio verification in the remaining review risk.
SH0004-R1-SEM-005	content-audit-20260827	2026-08-27	S03E01	0:15:52.38	0:15:54.76	translation	P2	毕竟是世界上最受关注的情侣嘛	毕竟我们可是全世界最贵的一对情侣嘛	master.ass line 246; English reference 0:15:50.42–0:15:54.82; SH-TRANS-002	The approved wording follows the auxiliary translation's “most expensive” sense while retaining the joking register; it is not treated as Japanese-text proof.	approved	verified	毕竟我们可是全世界最贵的一对情侣嘛	Codex	user	Applied after user approval; ASS structure and punctuation checks pass. Keep source-audio verification in the remaining review risk.
SH0004-R1-TIME-001	content-audit-20260827	2026-08-27	S03E01	0:10:20.30	0:10:25.27	timing-segmentation	P2	One Chinese event: 日向\N负责补给和防御的飞鸟	Review possible split into the two speaker/name-role clauses at verified audio and shot boundaries	master.ass line 151; English 0:10:20.22–0:10:22.46 and 0:10:23.18–0:10:25.38; SH-TIME-005	The user-approved split follows the two auxiliary-reference events and keeps each role/name unit readable.	approved	verified	0:10:20.22–0:10:22.46 作为航空战力核心的日向; 0:10:23.18–0:10:25.38 负责补给和防御的飞鸟	Codex	user	Applied after user approval; neighboring events and bilingual-independent Chinese timing parse successfully. Japanese-audio verification remains a project risk.
SH0004-R1-TIME-002	content-audit-20260827	2026-08-27	S03E04	0:16:41.34	0:16:42.25	timing-readability	P1	哪怕就剩我一个人也要…	Check speech end and neighboring event; extend/resegment only if audio confirms continuing utterance	machine-audit.tsv; master.ass line 317; weighted 10.5/0.91s; SH-TIME-004; project/workspace/temp/review/attachments/S03E04-00-16-39.50-to-00-16-43.00-ja-audio.wav	The user confirmed that the Japanese utterance naturally cuts off at this point; the ellipsis is intentional and the subtitle does not disappear early.	waived	closed	00:16:41.34–00:16:42.25 retained unchanged; natural unfinished utterance confirmed	Codex	user	User-confirmed P1 waiver dated 2026-08-27: the source utterance naturally ends unfinished at this point, so extending or resegmenting would be incorrect; residual risk is limited to this intentional truncation.
SH0004-R1-TYPE-001	content-audit-20260827	2026-08-27	ALL			typography	P1	Primary and reference styles use 方正准圆_GBK、方正大雅宋_GBK、DFGHSMincho-W5 and related fonts not available in the local renderer	Migrate Chinese/English styles to Noto Sans CJK SC and Japanese reference styles to Noto Sans CJK JP, preserving geometry after local visual recheck	master.ass style blocks; SH-LAYOUT-004; font-migration.tsv; local renders S03E01-00-10-24-static-noto.png, S03E04-00-16-41.70-static-noto.png	The previously unavailable baseline fonts caused renderer fallback; the approved static Noto families are installed locally and representative renders were checked for visibility, position, width, and effects.	approved	verified	All four masters use Noto Sans CJK SC for Chinese/English and Noto Sans CJK JP for Japanese reference styles; no inline font tags remain	Codex	user	Applied after the user-approved continuation scope; representative local renders for E01 and E04 show readable placement, and the remaining E07 representative render is recorded in the project review.
